BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2016-05-12,НЛМК ао,NLMK,7523,304041014.5,85.3,83.55,85.84,83.94,84.72,83.94,3589090,84.71,84.71,83.94,304041014.5,304041014.5,304041014.5,,3
TQBR,2016-05-13,НЛМК ао,NLMK,5954,140724299.2,83.8,83.0,84.19,83.65,83.58,83.65,1683800,83.58,83.58,83.65,140724299.2,140724299.2,140724299.2,,3
TQBR,2016-05-16,НЛМК ао,NLMK,8224,258379365.7,84.09,84.09,87.0,86.21,85.75,86.21,3012160,85.78,85.78,86.21,258379365.7,258379365.7,258379365.7,,3
TQBR,2016-05-17,НЛМК ао,NLMK,11185,185492125.4,86.45,84.0,86.74,85.37,84.84,85.37,2186300,84.84,84.84,85.37,185492125.4,185492125.4,185492125.4,,3
TQBR,2016-05-18,НЛМК ао,NLMK,3429,104874283.5,85.5,84.68,86.59,86.2,85.8,86.2,1222080,85.82,85.82,86.2,104874283.5,104874283.5,104874283.5,,3
TQBR,2016-05-19,НЛМК ао,NLMK,5337,146130619.5,86.19,84.02,86.19,84.12,84.72,84.12,1725810,84.67,84.67,84.12,146130619.5,146130619.5,146130619.5,,3
TQBR,2016-05-20,НЛМК ао,NLMK,3663,93916967.1,84.46,84.0,85.4,84.98,84.74,84.98,1108090,84.76,84.76,84.98,93916967.1,93916967.1,93916967.1,,3
TQBR,2016-05-23,НЛМК ао,NLMK,8509,236436700.2,84.82,82.11,84.98,82.8,83.23,82.8,2841890,83.2,83.2,82.8,236436700.2,236436700.2,236436700.2,,3
TQBR,2016-05-24,НЛМК ао,NLMK,3974,135077370.2,82.43,82.4,83.72,83.05,83.32,83.05,1620750,83.34,83.34,83.05,135077370.2,135077370.2,135077370.2,,3
TQBR,2016-05-25,НЛМК ао,NLMK,7120,163543753.3,83.12,83.1,85.1,84.56,84.34,84.56,1938440,84.37,84.37,84.56,163543753.3,163543753.3,163543753.3,,3
TQBR,2016-05-26,НЛМК ао,NLMK,8216,200036267.6,84.8,83.73,86.08,84.64,85.09,84.64,2351960,85.05,85.05,84.64,200036267.6,200036267.6,200036267.6,,3
